card4,card6,total_transactions,fraud_transactions,fraud_rate,avg_amount
unknown,credit,3,1,0.3333333333333333,166.66666666666666
unknown,debit,9,1,0.1111111111111111,74.51811111111111
discover,credit,6304,500,0.07931472081218274,267.08638483502625
mastercard,credit,50772,3511,0.06915228866304263,185.08276884896938
visa,credit,83732,5704,0.06812210385515693,188.77508294320796
discover,debit,347,14,0.040345821325648415,241.479855907781
american express,debit,144,5,0.034722222222222224,108.40972222222223
american express,credit,8175,234,0.028623853211009173,174.27630996941895
visa,debit,301023,7669,0.025476458609475023,117.69619029445154
unknown,unknown,1565,39,0.024920127795527155,155.12736932907313
mastercard,debit,138415,2985,0.02156558176498212,113.06480552687769
mastercard,debit or credit,30,0,0.0,104.06566666666669
visa,charge card,12,0,0.0,41.07683333333333
american express,unknown,6,0,0.0,83.33333333333333
american express,charge card,3,0,0.0,133.33333333333334
