email_domain,total_transactions,fraud_transactions,fraud_rate,avg_amount
mail.com,559,106,0.18962432915921287,157.6101019677997
outlook.es,438,57,0.13013698630136986,41.08835159817352
aim.com,315,40,0.12698412698412698,128.74056507936507
outlook.com,5096,482,0.0945839874411303,112.93968229984286
hotmail.es,305,20,0.06557377049180328,43.061426229508186
live.com.mx,749,41,0.05473965287049399,44.86739519359144
hotmail.com,45250,2396,0.052950276243093924,99.93104875137838
gmail.com,228355,9943,0.043541853692715286,128.63019490708385
yahoo.fr,143,5,0.03496503496503497,47.43311888111888
embarqmail.com,260,9,0.03461538461538462,126.7673076923077
mac.com,436,14,0.03211009174311927,185.57798165137618
icloud.com,6267,197,0.03143449816499123,141.22915015158873
comcast.net,7888,246,0.03118661257606491,198.8446748225162
charter.net,816,25,0.030637254901960783,190.00284313725487
unknown,94456,2790,0.02953756246294571,119.09294863217441
frontier.com,280,8,0.02857142857142857,135.6239642857143
bellsouth.net,1909,53,0.02776322682032478,174.96608014667336
live.com,3041,84,0.027622492601118053,144.94562512331427
frontiernet.net,195,5,0.02564102564102564,160.7314769230769
anonymous.com,36998,859,0.02321747121466025,169.49082161197472
suddenlink.net,175,4,0.022857142857142857,145.54405714285713
yahoo.com,100934,2297,0.02275744545940912,144.20110824897208
gmail,496,11,0.02217741935483871,124.88919758064523
msn.com,4092,90,0.021994134897360705,177.18993890518132
aol.com,28289,617,0.021810597758846195,176.88068125419264
