transaction_day,total_transactions,fraud_transactions,fraud_rate,total_amount
1,5122,112,0.021866458414681766,742186.9309999892
2,3730,123,0.032975871313672925,453400.0130000048
3,3241,92,0.028386300524529465,348517.4340000036
4,4036,115,0.028493557978196235,515968.99700000504
5,3964,127,0.03203834510595358,543140.6410000043
6,3717,99,0.026634382566585957,476860.62000000407
7,3786,136,0.03592181722134179,534372.0810000035
8,3999,93,0.023255813953488372,546577.8190000033
9,3907,119,0.030458152034809317,456672.97900000407
10,3445,90,0.026124818577648767,355377.3770000039
11,4319,123,0.02847881454040287,579746.5250000026
12,4164,84,0.020172910662824207,518737.72200000496
13,4183,82,0.01960315562993067,559196.1860000037
14,4446,126,0.02834008097165992,605741.6539999997
15,5034,143,0.02840683353198252,697884.6149999951
16,4325,70,0.016184971098265895,503902.99400000466
17,3805,126,0.033114323258869906,402041.04000000504
18,5585,161,0.0288272157564906,749349.6349999927
19,5526,118,0.021353601158161418,775397.3770000006
20,5749,135,0.02348234475560967,795644.6399999924
21,5677,116,0.020433327461687512,801712.8289999916
22,6852,147,0.021453590192644482,967887.4589999816
23,5872,106,0.018051771117166212,675913.8349999967
24,6065,76,0.012530915086562242,636713.7719999987
25,5742,63,0.0109717868338558,526717.1750000039
26,3458,82,0.02371312897628687,427651.41600000387
27,3585,100,0.02789400278940028,459705.6040000042
28,3332,150,0.045018007202881155,470140.2560000042
29,4302,129,0.0299860529986053,629701.9729999984
30,3371,158,0.04687036487689113,476106.85300000594
31,2982,149,0.0499664654594232,339913.0740000034
32,2387,51,0.0213657310431504,257564.75300000331
33,3403,123,0.03614457831325301,453374.525000006
34,4264,159,0.037288930581613505,585444.2340000047
35,3830,120,0.031331592689295036,504431.2740000043
36,3571,135,0.03780453654438533,498308.0620000053
37,3030,126,0.041584158415841586,380208.0880000033
38,2544,110,0.04323899371069182,262467.1470000032
39,3017,117,0.038780245276765,410133.53100000485
40,2914,109,0.03740562800274537,436539.24500000454
41,2962,121,0.04085077650236327,464350.0780000054
42,2881,85,0.02950364456785838,430964.1160000036
43,3606,160,0.044370493621741544,553048.6670000044
44,2786,119,0.04271356783919598,343487.9730000035
45,2300,100,0.043478260869565216,247228.03600000273
