feature_name,source_type,spark_type,null_ratio,distinct_non_null,dominant_ratio,top_category_coverage,cardinality_bucket,included,inclusion_decision
addr1,numeric,double,0.240438,114,,,high,True,include_numeric
addr2,numeric,double,0.240438,27,,,medium,True,include_numeric
c1,numeric,double,0.0,456,,,high,True,include_numeric
c10,numeric,double,0.0,259,,,high,True,include_numeric
c11,numeric,double,0.0,330,,,high,True,include_numeric
c12,numeric,double,0.0,265,,,high,True,include_numeric
c13,numeric,double,0.0,618,,,high,True,include_numeric
c14,numeric,double,0.0,293,,,high,True,include_numeric
c2,numeric,double,0.0,513,,,high,True,include_numeric
c3,numeric,double,0.0,7,,,low,True,include_numeric
c4,numeric,double,0.0,231,,,high,True,include_numeric
c5,numeric,double,0.0,213,,,high,True,include_numeric
c6,numeric,double,0.0,309,,,high,True,include_numeric
c7,numeric,double,0.0,202,,,high,True,include_numeric
c8,numeric,double,0.0,295,,,high,True,include_numeric
c9,numeric,double,0.0,145,,,high,True,include_numeric
card1,numeric,bigint,0.0,3499,,,high,True,include_numeric
card2,numeric,double,0.017107,518,,,high,True,include_numeric
card3,numeric,double,0.002538,70,,,high,True,include_numeric
card4,string,string,0.002643,4,0.650955,1.0,low,True,include_string
card5,numeric,double,0.009388,58,,,high,True,include_numeric
card6,string,string,0.002538,2,0.633353,1.0,low,True,include_string
class_weight,numeric,double,0.0,1,,,constant,False,drop_constant_or_empty
d1,numeric,double,0.002608,671,,,high,True,include_numeric
d10,numeric,double,0.159736,706,,,high,True,include_numeric
d11,numeric,double,0.585535,686,,,high,True,include_numeric
d12,numeric,double,0.764708,421,,,high,True,include_numeric
d13,numeric,double,0.784666,182,,,high,True,include_numeric
d14,numeric,double,0.775695,423,,,high,True,include_numeric
d15,numeric,double,0.180389,722,,,high,True,include_numeric
d2,numeric,double,0.548992,671,,,high,True,include_numeric
d3,numeric,double,0.49242,414,,,high,True,include_numeric
d4,numeric,double,0.288734,710,,,high,True,include_numeric
d5,numeric,double,0.501252,510,,,high,True,include_numeric
d6,numeric,double,0.754277,461,,,high,True,include_numeric
d7,numeric,double,0.829833,269,,,high,True,include_numeric
d8,numeric,double,0.748122,2092,,,high,True,include_numeric
d9,numeric,double,0.748122,22,,,medium,True,include_numeric
deviceinfo,string,string,0.691933,592,0.380587,0.678668,high,False,drop_high_cardinality_low_coverage
devicetype,string,string,0.611335,2,0.534622,1.0,low,True,include_string
dist1,numeric,double,0.685153,862,,,high,True,include_numeric
dist2,numeric,double,0.87806,476,,,high,True,include_numeric
email_domain_match,numeric,double,0.0,2,,,low,True,include_numeric
event_day,numeric,double,0.0,170,,,high,True,include_numeric
event_hour_cos,numeric,double,0.0,25,,,medium,True,include_numeric
event_hour_sin,numeric,double,0.0,25,,,medium,True,include_numeric
event_minute_cos,numeric,double,0.0,57,,,high,True,include_numeric
event_minute_sin,numeric,double,0.0,58,,,high,True,include_numeric
event_second_cos,numeric,double,0.0,57,,,high,True,include_numeric
event_second_sin,numeric,double,0.0,58,,,high,True,include_numeric
id_01,string,string,0.605876,35,0.468549,0.952801,high,True,include_string_topk
id_02,string,string,0.611057,11681,0.000268,0.002056,high,False,drop_high_cardinality_low_coverage
id_03,string,string,0.772288,21,0.924721,0.996335,medium,True,include_string
id_04,string,string,0.772288,14,0.983204,0.998473,medium,True,include_string
id_05,string,string,0.620828,72,0.612105,0.864282,high,True,include_string_topk
id_06,string,string,0.620828,76,0.604952,0.811463,high,True,include_string_topk
id_07,string,string,0.985223,56,,,high,False,drop_high_null
id_08,string,string,0.985223,68,,,high,False,drop_high_null
id_09,string,string,0.748122,22,0.901574,0.994754,medium,True,include_string
id_10,string,string,0.748122,21,0.977361,0.996687,medium,True,include_string
id_11,string,string,0.610953,109,0.94718,0.980427,high,True,include_string_topk
id_12,string,string,0.605876,2,0.874636,1.0,low,True,include_string
id_13,string,string,0.638908,38,0.430332,0.951468,high,True,include_string_topk
id_14,string,string,0.845097,19,0.564983,0.99147,medium,True,include_string
id_15,string,string,0.610883,3,0.58833,1.0,low,True,include_string
id_16,string,string,0.645306,2,0.641996,1.0,low,True,include_string
id_17,string,string,0.616655,53,0.590204,0.991746,high,True,include_string_topk
id_18,string,string,0.872184,12,0.650163,0.999184,medium,True,include_string
id_19,string,string,0.616898,274,0.197404,0.59194,high,False,drop_high_cardinality_low_coverage
id_20,string,string,0.617072,159,0.206302,0.599473,high,False,drop_high_cardinality_low_coverage
id_21,string,string,0.985223,71,,,high,False,drop_high_null
id_22,string,string,0.985188,7,,,low,False,drop_high_null
id_23,string,string,0.985188,3,,,low,False,drop_high_null
